Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Qatar,1.153856,1.174731,1.223599,1.212546,0.9774578,0.9966304,0.9002346,0.6611612,0.6635707,0.7001042,0.6707044
Reunion,0.3958711,0.416657,0.4318848,0.4238212,0.2570441,0.2859343,0.3168583,0.3198934,0.2596771,0.2390863,0.2291354
Romania,0.2736004,0.1860907,0.0823416,0.1791331,0.0491361,0.1891144,0.2771966,0.0564023,0.0468848,0.5617022,0.5892175
Russian Federation,-0.9294587,-0.9982621,-0.8177127,-0.7360936,-0.9436175,-1.029335,-0.9462103,-0.6406305,-0.541189,-0.5573844,-0.7314647
Rwanda,-0.2720939,-0.1771178,-0.2306152,-0.1109516,-0.3134696,0.0132411,-0.0548993,0.0880958,0.1104013,0.0642397,0.0325207
Samoa,0.7656919,0.988591,0.9992402,0.9890079,1.121905,1.183974,1.197349,1.178782,1.167804,1.157789,1.155737
San Marino,1.453984,1.061804,1.0264,1.054115,0.9895858,0.9194738,0.9504054,0.8745483,0.8498075,0.8984475,0.87713
Sao Tome and Principe,0.1154429,0.0078264,0.0133354,0.1118407,0.184183,0.1440426,0.2232869,0.1860471,0.522385,0.51391,0.4817928
Saudi Arabia,-0.226727,-0.4647996,-0.4806882,-0.4317841,-0.2858447,-0.626399,-0.4648285,-0.6378249,-0.6224066,-0.6058908,-0.6610959
Senegal,-0.417925,-0.2806022,-0.108322,-0.0607228,-0.1982231,-0.1166648,-0.2182553,-0.0505368,-0.101474,0.0465478,-0.0207329
Serbia,-0.4217417,-0.2828821,-0.2172995,-0.0756381,0.1841108,0.238982,0.1401536,0.0868554,0.0089511,-0.0659501,-0.0928664
Seychelles,0.8567662,0.9377541,0.7442663,0.8255889,0.3616324,0.6887798,0.7330045,0.7933625,0.6875581,0.6827319,0.7166618
Sierra Leone,-0.2366454,-0.1684449,-0.2799453,-0.1747183,-0.1040397,-0.1025168,-0.1599265,-0.0358612,-0.0852979,-0.0528448,-0.2436621
Singapore,1.169415,1.191422,1.368175,1.378178,1.186271,1.311753,1.495759,1.61567,1.487936,1.500786,1.465074
Slovak Republic,1.053317,0.9747573,1.088401,1.119518,1.039121,0.8745452,0.7211707,0.9099894,0.7434435,0.6671577,0.6392572
Slovenia,0.8665088,0.9692097,0.9351107,0.8822517,0.9657734,0.9533927,0.990436,0.8733998,0.9011371,0.8074292,0.7064864
Solomon Islands,0.3432938,0.3075584,0.1873163,0.3003827,0.4702248,0.6609848,0.5060284,0.1990407,0.3645273,0.5082222,0.6357331
Somalia,-3.130971,-3.083847,-2.860755,-2.758687,-2.515828,-2.380828,-2.357363,-2.259042,-2.260305,-2.386645,-2.518731
South Africa,-0.029427,0.0240316,-0.0253867,-0.0462945,-0.146389,-0.2129929,-0.141504,-0.2775617,-0.2277793,-0.2676704,-0.2368584
South Sudan,..,-1.430328,-1.156583,-1.730329,-2.646577,-2.375689,-2.418966,-2.452472,-2.442854,-2.511948,-2.168307
